route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
422,Trident/Enviro400,Volvo B5LH ADL Enviro400 MMC | ADL Enviro400 | ADL Enviro400H | ADL Enviro400H MMC | ADL Enviro400 MMC,57,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,57
423,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,22,VOLVO,B5LH/Gemini 3,hybrid,double,22
424,Streetlite WF 8.8m,Wright StreetLite WF | ADL Enviro200,8,ALEXANDER DENNIS,Streetlite WF 8.8m,diesel,single,8
425,E40H/Enviro400H MMC,ADL Enviro400 MMC,48,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,48
427,E40H/Enviro400H MMC,ADL Enviro400 MMC | ADL Enviro400H | ADL Enviro400H MMC,37,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,37
428,Trident/Enviro400,ADL Enviro400 | Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH Wright Eclipse Gemini 2 | VDL DB300 Wright Gemini 2,32,VOLVO,Trident/Enviro400,diesel,double,32
43,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV | Wright StreetDeck Electroliner,40,BYD,DD/Enviro400EV City,electric,double,40
430,B5LH/Gemini 3,ADL Enviro400H MMC,14,VOLVO,B5LH/Gemini 3,hybrid,double,41
432,B5LH/Gemini 2,Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH Wright Eclipse Gemini 2,23,VOLVO,B5LH/Gemini 2,hybrid,double,23
433,e.City Gold 10.7m,Caetano e.City Gold | Wright GB Kite Electroliner | ADL Enviro200 MMC,18,WRIGHTBUS,e.City Gold 10.7m,electric,single,18
434,E20D/Enviro200,Wright StreetLite WF | ADL Enviro200,10,WRIGHTBUS,E20D/Enviro200,diesel,single,10
436,B5LH/Eclipse Gemini,ADL Enviro400H MMC,42,ALEXANDER DENNIS,B5LH/Eclipse Gemini,hybrid,double,42
439,D8UR/Enviro200 MMC EV,,0,BYD,D8UR/Enviro200 MMC EV,electric,single,12
44,Streetdeck/Gemini 3,ADL Enviro400H MMC,12,VOLVO,Streetdeck/Gemini 3,diesel,double,29
440,E20D/Enviro200 MMC,ADL Enviro200 MMC,21,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,21
444,D9UR/Enviro200 MMC EV,,0,WRIGHTBUS,D9UR/Enviro200 MMC EV,electric,single,15
45,E40H/Enviro400H,BYD D8UR-DD ADL Enviro400EV | Wright StreetDeck Electroliner | ADL Enviro400 MMC | ADL Enviro400H | ADL Enviro400H MMC,40,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,40
450,D8UR/Enviro200 MMC EV,,0,BYD,D8UR/Enviro200 MMC EV,electric,single,19
452,B5LH/EvoSeti,Volvo B5LH MCV EvoSeti | Optare MetroDecker EV,44,OPTARE,B5LH/EvoSeti,hybrid,double,44
453,New Bus for London,,0,WRIGHTBUS,New Bus for London,hybrid,double,0
456,Streetlite WF 8.8m,Wright StreetLite WF | ADL Enviro200,7,WRIGHTBUS,Streetlite WF 8.8m,diesel,single,9
46,D8UR/Enviro200MMC EV,BYD D8UR ADL Enviro200EV | Wright GB Kite Electroliner,26,BYD,D8UR/Enviro200MMC EV,electric,single,26
460,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,33,VOLVO,B5LH/Gemini 3,hybrid,double,33
462,E20D/Enviro200 MMC,ADL Enviro200 | ADL Enviro200 MMC,12,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,12
463,Streetlite WF 8.8m,Wright StreetLite WF | ADL Enviro200,17,WRIGHTBUS,Streetlite WF 8.8m,diesel,single,17
464,E20D/Enviro200 MMC,ADL Enviro200 MMC,8,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,8
465,E20D/Enviro200 MMC,ADL Enviro200 MMC | ADL Enviro200,16,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,16
466,BYD B11E02 10.9m,BYD BD11,38,BYD,BYD B11E02 10.9m,electric,single,38
467,Trident/Enviro400,Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400H | ADL Enviro400,6,VOLVO,Trident/Enviro400,diesel,double,6
468,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH Wright Eclipse Gemini 2,55,VOLVO,B5LH/Gemini 3,hybrid,double,55
469,E20D/Enviro200 MMC,ADL Enviro200,6,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,16
47,B5LH/Enviro400H MMC,Volvo B5LH ADL Enviro400 MMC | Wright StreetDeck Electroliner | ADL Enviro400 MMC,41,VOLVO,B5LH/Enviro400H MMC,hybrid,double,41
470,E20D/Enviro200,ADL Enviro200,5,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,5
473,BYD B11E02 10.9m,,0,BYD,BYD B11E02 10.9m,electric,single,27
474,Trident/Enviro400,ADL Enviro400,4,VOLVO,Trident/Enviro400,diesel,double,22
476,B9TL/Gemini 2,BYD D8UR-DD ADL Enviro400EV,9,VOLVO,B9TL/Gemini 2,diesel,double,41
481,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH MCV EvoSeti,19,VOLVO,B5LH/Gemini 3,hybrid,double,19
481D,,,0,,,,,0
482,E40H/Enviro400H MMC,ADL Enviro400 MMC | ADL Enviro400H MMC,15,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,15
483,B9TL/Gemini 2,Volvo B5LH MCV EvoSeti | Volvo B9TL Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,56,VOLVO,B9TL/Gemini 2,diesel,double,56
484,D8UR/Enviro200 MMC EV,,0,BYD,D8UR/Enviro200 MMC EV,electric,single,14
485,Kite Electroliner 10.3m,Wright GB Kite Electroliner,5,WRIGHTBUS,Kite Electroliner 10.3m,electric,single,5
486,B9TL/Gemini 2,ADL Enviro400,17,ALEXANDER DENNIS,B9TL/Gemini 2,diesel,double,34
487,BZL (sd)/MCV,Volvo BZL,23,VOLVO,BZL (sd)/MCV,electric,single,23
488,E20D/Enviro200,ADL Enviro200,13,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,13
49,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,31,BYD,DD/Enviro400EV City,electric,double,31
490,E20D/Enviro200,Wright GB Kite Electroliner | ADL Enviro200 MMC | ADL Enviro200,36,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,36
491,E20D/Enviro200,BYD B12 | ADL Enviro200,23,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,23
492,E40D/Enviro400,ADL Enviro400 | Volvo B5LH Wright Eclipse Gemini 2 | VDL DB300 Wright Gemini 2,27,ALEXANDER DENNIS,E40D/Enviro400,diesel,double,27
493,,Wright GB Kite Electroliner | ADL Enviro200,29,WRIGHTBUS,,electric,,29
496,Trident/Enviro400,ADL Enviro400 | Wright StreetDeck Electroliner,21,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,21
498,E40D/Enviro400 MMC,ADL Enviro400 | ADL Enviro400 MMC | Wright StreetDeck Electroliner,19,ALEXANDER DENNIS,E40D/Enviro400 MMC,diesel,double,19
499,E20D/Enviro200 MMC,ADL Enviro400,19,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,19
5,New Bus for London,ADL Enviro400H | ADL Enviro400H MMC,4,ALEXANDER DENNIS,New Bus for London,hybrid,double,5
50,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,27,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,27
51,Trident/Enviro400,ADL Enviro400,15,VOLVO,Trident/Enviro400,diesel,double,32
52,B5LH/Eclipse Gemini,Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH Wright Eclipse Gemini 2,47,VOLVO,B5LH/Eclipse Gemini,hybrid,double,47
